Use This:,To Do This:
` (Backtick),"Swap to Update if one is open, otherwise swap to Chart Desktop"
C,Open a CPOE Append
F5 (single tap),Open a Phone Note (Relies on the Phone Note Icon to be visible)
F5 (double tap),Open a Phone Note and goes to CPOE Form
L,Picks Common Letters to Customize/Print
